hindi_phrase,english_translation,sanskrit_translation,category
आशीर्वाद,Blessing,आशीर्वादः,Language
इतिहास,History,इतिहास,Language
पीढ़ी,Generation,पीढ़ी,Language
पूर्वज,Ancestors,पूर्वज,Language
बुजुर्ग,Elders,वृद्धाः,Language
ज्ञान,Knowledge,ज्ञानम्‌,Language
शिक्षा,Education,शिक्षा,Language
सीख,Lesson,पाठ,Language
भाषा सेतु,BhashaSetu,भाषासेतु,Preservation
सेतु,Bridge of connection,संयोगस्य सेतुः,Preservation
रोबोट,Robot,रोबोट,Preservation
यंत्र,Machine,यंत्रं,Preservation
कृत्रिम बुद्धि,Artificial intelligence,कृत्रिमबुद्धि,Preservation
कंप्यूटर,Computer,संगणक,Preservation
प्रौद्योगिकी,Technology,तन्त्रज्ञान,Preservation
कैमरा,Camera,कॅमेरा,Preservation
माइक्रोफोन,Microphone,माइक्रोफोन,Preservation
रिकॉर्डिंग,Recording,रिकार्डिङ्ग,Preservation
आवाज़ रिकॉर्ड करना,To record voice,स्वरं रिकार्ड् कर्तुं,Preservation
मैं सुन रहा हूँ,I am listening,अहं शृणोमि,Preservation
कृपया बोलिए,Please speak,कृपया वदतु,Preservation
कृपया दोहराइए,Please repeat,कृपया पुनः पुनः,Preservation
मुझे एक कहानी सुनाइए,Tell me a story,कथां कथयतु,Preservation
मुझे एक गीत सुनाइए,Sing me a song,गीतं मम गायतु,Preservation
आपकी आवाज़ सुरक्षित है,Your voice is saved,भवतः स्वरः रक्षितः अस्ति,Preservation
रिकॉर्डिंग शुरू,Recording started,रिकार्डिङ्ग् आरब्धम्,Preservation
रिकॉर्डिंग समाप्त,Recording finished,रिकार्डिङ्ग् समाप्तम्,Preservation
क्या आप थक गए हैं,Are you tired,किं त्वं श्रान्तः असि,Preservation
आइए थोड़ा आराम करें,Let us rest a while,किञ्चित्कालं विश्रामं कुर्मः,Preservation
आपका बहुत धन्यवाद,Thank you so much,भूरिशः धन्यवादाः,Preservation
विलुप्त भाषा,Endangered language,विलुप्तप्राय भाषा,Preservation
विलुप्त हो रहा,Disappearing,अन्तर्धानं भवति,Preservation
संकट में,In danger,संकटे,Preservation
भाषा संरक्षण,Language preservation,भाषासंरक्षणम्,Preservation
बचाना ज़रूरी है,Saving is essential,बचतम् अत्यावश्यकम्,Preservation
जीवित रखना,To keep alive,जीवितं स्थापयितुं,Preservation
दस्तावेज़,Document,प्रलेख,Preservation
संग्रह,Collection,सङ्ग्रह,Preservation
अभिलेखागार,Archive,लेखागार,Preservation
शोध,Research,अनुसंधानम्,Preservation
साक्षात्कार,Interview,साक्षात्कारं,Preservation
अनुमति,Permission,अनुमति,Preservation
सहमति,Consent,सम्मतिः,Preservation
सम्मान,Respect,आदरः,Preservation
गरिमा,Dignity,गौरवं,Preservation
समुदाय,Community,समुदाय,Preservation
वारली,Warli,वारली,Preservation
आदिवासी,Tribal,आदिवासी,Preservation
वारली चित्रकला,Warli painting,वारली चित्रकला,Preservation
त्रिभुज,Triangle,त्रिकोणः,Preservation
वृत्त,Circle,वृत्त,Preservation
तारपा नृत्य,Tarpa dance,तर्प नृत्य,Preservation
पालघर,Palghar,पालघर,Preservation
महाराष्ट्र,Maharashtra,महाराष्ट्र,Preservation
भविष्य,Future,भविष्य,Preservation
अतीत,Past,भूत,Preservation
वर्तमान,Present,उपस्थितः,Preservation
नई पीढ़ी,New generation,नवीन पीढी,Preservation
अगली पीढ़ी के लिए,For the next generation,अग्रिमजन्मस्य कृते,Preservation
आप कहाँ रहते हैं,Where do you live,तवं कुत्र वससि,Sentences
आपकी उम्र क्या है,How old are you,भवतः वयः कियत्‌,Sentences
आप क्या करते हैं,What do you do,त्वं किं करोसि,Sentences
आपको क्या पसंद है,What do you like,भवतः किं रोचते,Sentences
मुझे यह पसंद है,I like this,मम एतत् रोचते,Sentences
मुझे यह पसंद नहीं है,I do not like this,मम एतत् न रोचते,Sentences
यह क्या है,What is this,इदं किं,Sentences
वह क्या है,What is that,तत् किम्,Sentences
यह किसका है,Whose is this,कस्य इति,Sentences
यह कितने का है,How much is this,कियत् इति,Sentences
कितना समय लगेगा,How long will it take,कियत्कालं यावत् भवति,Sentences
रास्ता किधर है,Which way is the road,कः मार्गः मार्गः अस्ति,Sentences
मुझे मदद चाहिए,I need help,मम साहाय्यस्य आवश्यकता अस्ति,Sentences
क्या आप मेरी मदद करेंगे,Will you help me,किं त्वं मम साहाय्यं करिष्यसि,Sentences
मैं आपकी मदद करूँगा,I will help you,अहं भवतः साहाय्यं करिष्यामि,Sentences
चिंता मत कीजिए,Do not worry,चिन्ता मा कुरुत,Sentences
सब ठीक हो जाएगा,Everything will be fine,सर्वं सुष्ठु भविष्यति,Sentences
मुझे भारत से प्यार है,I love India,अहं भारतं प्रेम करोमि,Sentences
मुझे अपनी भाषा से प्यार है,I love my language,मम भाषा मम बहु रोचते,Sentences
मुझे गर्व है,I am proud,अहं गर्वितः अस्मि,Sentences
यह बहुत सुंदर है,This is very beautiful,एतत् अतीव सुन्दरम् अस्ति,Sentences
मौसम अच्छा है,The weather is nice,मौसमः सुन्दरः अस्ति,Sentences
आज बारिश हो रही है,It is raining today,अद्य वर्षा भवति,Sentences
मैं स्कूल जाता हूँ,I go to school,अहं विद्यालयं गच्छामि,Sentences
मैं पढ़ाई करता हूँ,I am studying,अहं पठामि,Sentences
मुझे खेलना पसंद है,I like to play,मम क्रीडनं रोचते,Sentences
मुझे संगीत पसंद है,I like music,मम सङ्गीतं रोचते,Sentences
क्या आप गा सकते हैं,Can you sing,किं भवन्तः गायितुं शक्नुवन्ति,Sentences
क्या आप नाच सकते हैं,Can you dance,किं भवन्तः नृत्यं कर्तुं शक्नुवन्ति,Sentences
मुझे कहानियाँ सुनना पसंद है,I love listening to stories,कथाः श्रोतुं मम बहु रोचते,Sentences
दादी कहानी सुनाती हैं,Grandmother tells stories,पितामही कथाः कथयति,Sentences
बच्चे खेल रहे हैं,The children are playing,बालकाः क्रीडन्ति,Sentences
पक्षी गा रहे हैं,The birds are singing,पक्षिणः गायन्ति,Sentences
सूरज निकल रहा है,The sun is rising,सूर्योदयः,Sentences
चाँद चमक रहा है,The moon is shining,चन्द्रः प्रकाशते,Sentences
नदी बह रही है,The river is flowing,नदी प्रवहति,Sentences
फूल खिल रहे हैं,The flowers are blooming,पुष्पाणि प्रफुल्लितानि सन्ति,Sentences
दीप जल रहा है,The lamp is burning,दीपः प्रज्वलितः अस्ति,Sentences
दरवाज़ा खुला है,The door is open,द्वारं उद्घाटितम् अस्ति,Sentences
खाना तैयार है,The food is ready,भोजनं सज्जम् अस्ति,Sentences
अंदर आइए,Please come inside,कृपया अन्तः आगच्छन्तु,Sentences
बैठिए,Please sit down,कृपया उपविशतु,Sentences
पानी पीजिए,Please drink water,कृपया जलं पिबन्तु,Sentences
ध्यान से सुनिए,Listen carefully,ध्यानपूर्वकं शृणुत,Sentences
धीरे चलिए,Walk slowly,मन्दं गच्छतु,Sentences
जल्दी आइए,Come quickly,शीघ्रम् आगच्छतु,Sentences
यहाँ आइए,Come here,अत्र आगच्छतु,Sentences
वहाँ जाइए,Go there,तत्र गच्छतु,Sentences
रुकिए,Please stop,कृपया निवर्तते,Sentences
देखिए,Please look,कृपया पश्यन्तु,Sentences
सत्य बोलो,Speak the truth,सत्यं वदतु,Wisdom
सत्यमेव जयते,Truth alone triumphs,सत्यमेव विजयते,Wisdom
अतिथि देवो भव,The guest is like God,अतिथिः ईश्वर इव अस्ति,Wisdom
विद्या धन है,Knowledge is wealth,ज्ञानं धनम्,Wisdom
ज्ञान शक्ति है,Knowledge is power,ज्ञानं शक्तिः,Wisdom
समय बलवान है,Time is powerful,कालः शक्तिशाली अस्ति,Wisdom
समय का मूल्य समझो,Value your time,स्वसमयस्य मूल्यं ददातु,Wisdom
जीवन अनमोल है,Life is precious,जीवनं बहुमूल्यम् अस्ति,Wisdom
परिश्रम का फल मीठा होता है,The fruit of hard work is sweet,परिश्रमस्य फलं मधुरं भवति,Wisdom
धैर्य रखो,Be patient,धैर्यं धारयतु,Wisdom
आशा मत छोड़ो,Do not lose hope,आशां न त्यजन्तु,Wisdom
दूसरों की मदद करो,Help others,अन्येषां साहाय्यं कुरुत,Wisdom
बड़ों का सम्मान करो,Respect your elders,भवतः वृद्धानां सम्मानं कुरुत,Wisdom
विनम्र रहो,Be humble,विनयशीलः भवतु,Wisdom
क्षमा करना सीखो,Learn to forgive,क्षन्तुं शिक्षन्तु,Wisdom
ईमानदारी सबसे अच्छी नीति है,Honesty is the best policy,प्रामाणिकता एव सर्वोत्तमा नीतिः,Wisdom
एकता में शक्ति है,There is strength in unity,एकत्वे बलं भवति,Wisdom
बूँद बूँद से सागर बनता है,Drop by drop makes an ocean,बिन्दुः बिन्दुः समुद्रं करोति,Wisdom
जहाँ चाह वहाँ राह,Where there is a will there is a way,यत्र इच्छा अस्ति तत्र मार्गः अस्ति,Wisdom
अभ्यास से सब संभव है,Practice makes everything possible,अभ्यासः सर्वं सम्भवं करोति,Wisdom
गिरकर उठना ही जीवन है,To fall and rise again is life,पतनं पुनरुत्थानं च जीवनम्,Wisdom
मन के हारे हार है,Defeat begins in the mind,मनसि पराजयः आरभ्यते,Wisdom
अतीत से सीखो,Learn from the past,अतीतात् शिक्षन्तु,Wisdom
भविष्य की ओर देखो,Look toward the future,भविष्यं प्रति पश्यन्तु,Wisdom
प्रकृति की रक्षा करो,Protect nature,प्रकृतेः रक्षणं कुरुत,Wisdom
पेड़ लगाओ,Plant trees,वृक्षान् रोपयन्तु,Wisdom
पानी बचाओ,Save water,जलं रक्षतु,Wisdom
संस्कृति को जीवित रखो,Keep culture alive,संस्कृतिं जीवितं कुर्वन्तु,Wisdom
अपनी भाषा पर गर्व करो,Be proud of your language,स्वभाषायाः गर्वः भवतु,Wisdom
भाषा संस्कृति की आत्मा है,Language is the soul of culture,भाषा संस्कृतिस्य आत्मा अस्ति,Wisdom
हर भाषा अनमोल है,Every language is priceless,प्रत्येकं भाषा अमूल्यम् अस्ति,Wisdom
शब्दों में शक्ति होती है,Words have power,शब्दानां शक्तिः भवति,Wisdom
कहानियाँ हमें जोड़ती हैं,Stories connect us,कथाः अस्मान् संयोजयन्ति,Wisdom
बुजुर्गों की बातें सुनो,Listen to the elders,वृद्धानां वचनं शृणुत,Wisdom
अगली पीढ़ी के लिए सोचो,Think of the next generation,अग्रिमजन्मस्य विषये चिन्तयतु,Wisdom
एक बार की बात है,Once upon a time,एकदा,Stories
पहाड़ों के बीच एक छोटा सा गाँव था,There was a small village among the mountains,पर्वतानां मध्ये एकः लघुः ग्रामः आसीत्,Stories
उस गाँव में एक बुज़ुर्ग महिला रहती थी,An elderly woman lived in that village,तस्मिन् ग्रामे एका वृद्धा महिला निवसति स्म,Stories
वह अपनी पुरानी भाषा बोलती थी,She spoke her old language,सा स्वस्य पुरातनभाषां वदति स्म,Stories
उसकी कहानियाँ बहुत सुंदर थीं,Her stories were very beautiful,तस्याः कथाः अतीव सुन्दराः आसन्,Stories
लेकिन अब कोई सुनने वाला नहीं था,But now there was no one to listen,परन्तु इदानीं श्रोतुं कोऽपि नासीत्,Stories
बच्चे शहर चले गए थे,The children had moved to the city,बालकाः नगरं गतवन्तः आसन्,Stories
उसकी भाषा धीरे धीरे खो रही थी,Her language was slowly being lost,तस्याः भाषा शनैः शनैः नष्टा भवति स्म,Stories
एक दिन एक छोटा रोबोट गाँव आया,One day a small robot came to the village,एकस्मिन् दिने एकः लघुः रोबोट् ग्रामम् आगतः,Stories
उसका नाम भाषा सेतु था,Its name was BhashaSetu,अस्य नाम भाषासेतुः आसीत्,Stories
रोबोट ने कहा मुझे एक कहानी सुनाइए,The robot said tell me a story,रोबोट् अवदत् कथां कथयतु,Stories
महिला मुस्कुराई और बोलने लगी,The woman smiled and began to speak,सा स्त्रियाः स्मितं कृत्वा वक्तुं आरब्धा,Stories
रोबोट ने हर शब्द रिकॉर्ड किया,The robot recorded every word,रोबोट् प्रत्येकं शब्दं अभिलेखयति स्म,Stories
अब उसकी कहानियाँ हमेशा जीवित रहेंगी,Now her stories will live forever,इदानीं तस्याः कथाः सदा जीविष्यन्ति,Stories
भाषा बच गई और गाँव खुश हुआ,The language was saved and the village rejoiced,"भाषा उद्धारिता, ग्रामः आनन्दितः अभवत्",Stories
महाराष्ट्र के जंगलों में वारली लोग रहते हैं,The Warli people live in the forests of Maharashtra,वारलीजनाः महाराष्ट्रस्य वनेषु निवसन्ति,Stories
वे मिट्टी के घरों की दीवारों पर चित्र बनाते हैं,They paint pictures on the walls of mud houses,पङ्कगृहाणां भित्तिषु चित्राणि रचयन्ति,Stories
सफेद रंग से त्रिभुज और वृत्त बनते हैं,Triangles and circles are made with white color,श्वेतवर्णेन त्रिकोणमण्डलानि च भवन्ति,Stories
हर चित्र एक कहानी कहता है,Every painting tells a story,प्रत्येकं चित्रं कथां कथयति,Stories
एक युवा लड़की ने अपनी दादी से पूछा,A young girl asked her grandmother,एकः बालिका स्वपितामहीम् अपृच्छत्,Stories
ये चित्र क्या कहते हैं,What do these paintings say,एते चित्राणि किं वदन्ति,Stories
दादी ने कहा ये हमारे पूर्वजों की आवाज़ हैं,Grandmother said these are the voices of our ancestors,पितामही अवदत् एतानि अस्माकं पूर्वजानां स्वराः,Stories
ये फसल और बारिश की कहानियाँ हैं,These are stories of harvest and rain,एतानि फलानां वर्षाणां च कथाः सन्ति,Stories
ये तारपा नृत्य की खुशी दिखाते हैं,They show the joy of the Tarpa dance,तर्पनृत्यस्य आनन्दं दर्शयन्ति,Stories
लड़की ने चित्र बनाना सीखा,The girl learned to paint,बालिका चित्रकला शिक्षते स्म,Stories
उसने अपने चित्रों में नई कहानियाँ जोड़ीं,She added new stories to her paintings,सा स्वचित्रेषु नूतनाः कथाः योजितवती,Stories
परंपरा एक पीढ़ी से दूसरी पीढ़ी तक चली,The tradition passed from one generation to the next,परम्परा एकस्मात् पीढीतः परं पीढीं यावत् गता,Stories
कला कभी नहीं मरती,Art never dies,कला कदापि न म्रियते,Stories
एक गाँव के पास एक सुंदर नदी बहती थी,A beautiful river flowed near a village,एकस्य ग्रामस्य समीपे एकः सुन्दरः नदी प्रवहति स्म,Stories
गाँव के लोग नदी से पानी लेते थे,The village people took water from the river,ग्रामजनाः नदीतः जलं गृहीतवन्तः,Stories
किसान अपने खेतों को सींचते थे,The farmers watered their fields,कृषकाः स्वक्षेत्राणि सिञ्चन्ति,Stories
बच्चे नदी के किनारे खेलते थे,The children played by the riverbank,बालाः नदीतीरे क्रीडन्ति स्म,Stories
एक साल बारिश नहीं हुई,One year it did not rain,एकवर्षे वर्षा न अभवत्,Stories
नदी सूखने लगी,The river began to dry,नदी शुष्कतां प्रारभत,Stories
गाँव के बुज़ुर्ग ने सबको बुलाया,The village elder called everyone,ग्रामवृद्धः सर्वान् आहूतवान्,Stories
उन्होंने कहा हमें मिलकर काम करना होगा,He said we must work together,सः अवदत् यत् अस्माभिः मिलित्वा कार्यं कर्तव्यम्,Stories
सबने मिलकर तालाब खोदा,Everyone dug a pond together,सर्वे मिलित्वा तडागं खनितवन्तः,Stories
सबने पेड़ लगाए,Everyone planted trees,सर्वे वृक्षाः रोपितवन्तः,Stories
अगले साल खूब बारिश हुई,The next year it rained a lot,परवर्षे बहु वर्षा अभवत्,Stories
नदी फिर से बहने लगी,The river began to flow again,नदी पुनः प्रवाहितुं आरब्धा,Stories
तीन दोस्तों ने एक रोबोट बनाया,Three friends built a robot,त्रयः मित्राणि रोबोट् निर्मितवन्तः,Stories
रोबोट का आकार एक पीतल की लालटेन जैसा था,The robot was shaped like a brass lantern,रोबोट् पीतले दीपस्य आकारः आसीत्,Stories
उसका काम था भाषाओं को बचाना,Its job was to save languages,अस्य कार्यं भाषाणां रक्षणम् आसीत्,Stories
रोबोट गाँव गाँव घूमता था,The robot traveled from village to village,रोबोट् ग्रामात् ग्रामे गच्छति स्म,Stories
वह बुज़ुर्गों के पास जाकर रुकता था,It would stop near the elders,वृद्धानां समीपे एव स्थगितम् आसीत्,Stories
वह कहता था नमस्ते मैं सुन रहा हूँ,It would say hello I am listening,नमस्कारं शृणोमि इति वदिष्यति स्म,Stories
लोग उसे अपनी कहानियाँ सुनाते थे,People told it their stories,जनाः तत् स्वकथाः कथयन्ति स्म,Stories
वह गीत और लोरियाँ रिकॉर्ड करता था,It recorded songs and lullabies,"अस्मिन् गीतानि, लोरीगीतानि च अभिलेखितानि आसन्",Stories
जब कोई थक जाता तो वह कहता,When someone got tired it would say,यदा कश्चित् श्रान्तः भवति स्म तदा वदति स्म,Stories
धीरे धीरे उसने सैकड़ों आवाज़ें इकट्ठी कीं,Slowly it collected hundreds of voices,शनैः शनैः शतशः स्वराः सङ्गृहीताः,Stories
हर आवाज़ एक खज़ाना थी,Every voice was a treasure,प्रत्येकं स्वरं निधिः आसीत्,Stories
बच्चों ने उन आवाज़ों से अपनी भाषा सीखी,The children learned their language from those voices,तेभ्यः स्वरेभ्यः बालकाः स्वभाषां शिक्षन्ति स्म,Stories
इस तरह भाषा सेतु ने अतीत और भविष्य को जोड़ा,In this way BhashaSetu connected the past and the future,एवं भाषासेतुः अतीतं भविष्यं च संयोजितवान्,Stories
