hindi_phrase,english_translation,sanskrit_translation,tamil_translation,category
जानना,To know,ज्ञातुं,தெரிந்து கொள்ள,Actions
भूलना,To forget,विस्मरणार्थम्,மறக்க வேண்டும்,Actions
याद रखना,To remember,स्मरणार्थम्,நினைவில் கொள்ள,Actions
खोजना,To search,अन्वेषणार्थम्,தேடுவதற்கு,Actions
पाना,To find,अन्वेष्टुं,கண்டுபிடிக்க,Actions
खोना,To lose,हानिम्,இழக்க,Actions
देना,To give,दातुं,கொடுக்க,Actions
लेना,To take,ग्रहीतुं,எடுக்க,Actions
रखना,To keep,स्थापयितुं,வைக்க,Actions
उठाना,To lift,उत्थापयितुं,தூக்குவதற்கு,Actions
खोलना,To open,उद्घाटयितुं,திறக்க,Actions
बंद करना,To close,निमीलितुं,மூடுவதற்கு,Actions
बनाना,To make,कर्तुं,செய்ய,Actions
तोड़ना,To break,भङ्गं कर्तुं,உடைக்க,Actions
जोड़ना,To join,सम्मिलितुं,சேர,Actions
काटना,To cut,छिन्दितुं,வெட்டுவதற்கு,Actions
सिलना,To sew,सिवितुं,தைக்க,Actions
धोना,To wash,प्रक्षालितुं,கழுவ வேண்டும்,Actions
साफ करना,To clean,स्वच्छं कर्तुं,சுத்தம் செய்ய,Actions
पकाना,To cook,पाकं कर्तुं,சமைக்க,Actions
गाना गाना,To sing,गायितुं,பாடுவதற்கு,Actions
नाचना,To dance,नृत्यं कर्तुं,நடனமாட,Actions
बजाना,To play music,सङ्गीतं वादयितुं,இசையை இசைக்க,Actions
खेलना,To play,क्रीडितुं,விளையாட,Actions
हँसना,To laugh,हसितुं,சிரிக்க,Actions
रोना,To cry,रोदितुम्,அழுவதற்கு,Actions
मुस्कुराना,To smile,स्मितं कर्तुं,புன்னகைக்க,Actions
प्यार करना,To love,प्रेम्णा,காதலிக்க,Actions
मदद करना,To help,साहाय्यं कर्तुं,உதவி செய்ய,Actions
इंतज़ार करना,To wait,प्रतीक्षां कर्तुं,காத்திருக்க,Actions
मिलना,To meet,मिलितुं,சந்திக்க,Actions
बुलाना,To call,आह्वानं कर्तुं,அழைக்க,Actions
भेजना,To send,प्रेषयितुं,அனுப்புவதற்கு,Actions
लाना,To bring,आनयितुं,கொண்டு வர,Actions
ले जाना,To carry away,अपहरणं कर्तुं,எடுத்துச் செல்ல,Actions
खरीदना,To buy,क्रेतुं,வாங்க,Actions
बेचना,To sell,विक्रयणार्थम्,விற்க,Actions
जीतना,To win,विजयाय,வெற்றி பெற,Actions
हारना,To lose a game,क्रीडां हातुं,ஒரு விளையாட்டை இழக்க,Actions
शुरू करना,To begin,आरम्भार्थम्,தொடங்குவதற்கு,Actions
खत्म करना,To finish,समाप्तुं,முடிக்க,Actions
कोशिश करना,To try,प्रयासं कर्तुं,முயற்சி செய்ய,Actions
बदलना,To change,परिवर्तनार्थम्,மாற்றுவதற்கு,Actions
बढ़ना,To grow,वर्धयितुं,வளர,Actions
जीना,To live,जीवितुं,வாழ வேண்டும்,Actions
बचाना,To save,रक्षितुं,சேமிக்க,Actions
रक्षा करना,To protect,रक्षणार्थम्,பாதுகாக்க,Actions
बड़ा,Big,विशालः,பெரிய,Describing
छोटा,Small,लघु,சிறியது,Describing
लंबा,Tall,उन्नतः,உயரமான,Describing
नाटा,Short,वामनः,குறுகிய,Describing
मोटा,Fat,स्थूलः,கொழுப்பு,Describing
पतला,Thin,कृशः,மெல்லிய,Describing
नया,New,नूतनम्‌,புதியது,Describing
पुराना,Old thing,पुरातनं वस्तु,பழைய விஷயம்,Describing
जवान,Young,युवा,இளம்,Describing
बूढ़ा,Old person,वृद्धः व्यक्तिः,வயதானவர்,Describing
अच्छा,Good,शोभन,நல்லது,Describing
बुरा,Bad,असमीचीनः,மோசமான,Describing
सुंदर,Beautiful,सुन्दरम्‌,அழகான,Describing
बदसूरत,Ugly,कुरूपः,அசிங்கமான,Describing
तेज़,Fast,उपवासः,வேகமாக,Describing
धीमा,Slow,मन्द,மெதுவாக,Describing
गरम,Hot,उष्णः,சூடான,Describing
ठंडा,Cold thing,शीतं वस्तु,குளிர் விஷயம்,Describing
मीठा,Sweet,मधुरम्‌,இனிப்பு,Describing
कड़वा,Bitter,तिक्त,கசப்பான,Describing
खट्टा,Sour,अम्ल,புளிப்பு,Describing
तीखा,Spicy,अवलेह,காரமான,Describing
नरम,Soft,मृदु,மென்மையானது,Describing
कठोर,Hard,रूक्षः,கடினமான,Describing
हल्का,Light weight,लघु भार,லேசான எடை,Describing
भारी,Heavy,भारयुक्तम्‌,கனமானது,Describing
साफ,Clean,स्वच्छम्‌,சுத்தமான,Describing
गंदा,Dirty,मलिनम्‌,அழுக்கு,Describing
गीला,Wet,आर्द्रम्‌,ஈரமானது,Describing
सूखा,Dry,शुष्कः,உலர்,Describing
खाली,Empty,रिक्तम्‌,காலி,Describing
पास,Near,समीपः,அருகில்,Describing
दूर,Far,दूरम्‌,தூரம்,Describing
ऊँचा,High,उच्चैः,உயர்,Describing
नीचा,Low,न्यूनम्‌,குறைந்த,Describing
गहरा,Deep,अधः,ஆழமான,Describing
चौड़ा,Wide,विस्तृतः,பரந்த,Describing
सस्ता,Cheap,अल्पमूल्यम्‌,மலிவானது,Describing
महँगा,Expensive,बहुमूल्यम्‌,விலை உயர்ந்தது,Describing
आसान,Easy,सरलम्‌,எளிதானது,Describing
मुश्किल,Difficult,कठिनम्‌,கடினமானது,Describing
सही,Correct,उचितं,சரி,Describing
गलत,Wrong,दोषपूर्णः,தவறு,Describing
अमीर,Rich,धनिकः,பணக்காரர்,Describing
गरीब,Poor,निर्धनः,ஏழை,Describing
बहादुर,Brave,वीरः,துணிச்சலான,Describing
डरपोक,Cowardly,कायरः,கோழைத்தனம்,Describing
बुद्धिमान,Intelligent,चतुरः,புத்திசாலி,Describing
समझदार,Wise,पण्डितः,புத்திசாலி,Describing
ईमानदार,Honest,सत्यरतः,நேர்மையானவர்,Describing
दयालु,Kind,दयालु,வகையான,Describing
शांत,Quiet,शांतिम्,அமைதியான,Describing
व्यस्त,Busy,व्यस्तः,பிஸி,Describing
खास,Special,विशेषः,சிறப்பு,Describing
अनोखा,Unique,अद्वितीयः,தனித்துவமானது,Describing
मशहूर,Famous,प्रसिद्धः,பிரபலம்,Describing
जरूरी,Important,महत्वपूर्णः,முக்கியமானது,Describing
खुश,Happy,प्रसन्नः,மகிழ்ச்சி,Emotions
दुखी,Sad,सद्,வருத்தம்,Emotions
गुस्सा,Angry,क्रुद्धः,கோபம்,Emotions
डर,Fear,भयम्‌,பயம்,Emotions
साहस,Courage,साहस,தைரியம்,Emotions
आशा,Hope,आशा,நம்பிக்கை,Emotions
निराशा,Despair,निराशा,விரக்தி,Emotions
गर्व,Pride,अभिमानः,பெருமை,Emotions
शर्म,Shame,लज्जा,அவமானம்,Emotions
प्रेम,Love,स्नेहः,அன்பு,Emotions
नफरत,Hatred,द्वेषः,வெறுப்பு,Emotions
ईर्ष्या,Jealousy,ईर्ष्या,பொறாமை,Emotions
संतोष,Satisfaction,संतुष्टि,திருப்தி,Emotions
शांति,Peace,शान्तिः,அமைதி,Emotions
चिंता,Worry,चिंता,கவலை,Emotions
राहत,Relief,उपशम्,நிவாரணம்,Emotions
दर्द,Pain,पीडा,வலி,Emotions
आनंद,Joy,आनंदं,மகிழ்ச்சி,Emotions
मज़ा,Fun,परिहासः,வேடிக்கை,Emotions
हैरानी,Surprise,आश्चर्य,ஆச்சரியம்,Emotions
अकेलापन,Loneliness,एकान्तता,தனிமை,Emotions
याद,Memory of someone,कस्यचित् स्मृतिः,ஒருவரின் நினைவு,Emotions
पछतावा,Regret,खेदः,வருத்தம்,Emotions
क्षमा,Forgiveness,क्षमा,மன்னித்தல்,Emotions
कृतज्ञता,Gratitude,कृतवेदित्व,நன்றியுணர்வு,Emotions
विश्वास,Trust,न्यासः,நம்பிக்கை,Emotions
उत्साह,Enthusiasm,उत्साह,உற்சாகம்,Emotions
धैर्य,Patience,सहिष्णुता,பொறுமை,Emotions
करुणा,Compassion,करुणा,இரக்கம்,Emotions
ममता,Motherly love,मातृप्रेम,தாயின் அன்பு,Emotions
भाषा,Language,भाषा,மொழி,Language
मातृभाषा,Mother tongue,मातृभाषा,தாய்மொழி,Language
बोली,Dialect,बोली,பேச்சுவழக்கு,Language
शब्द,Word,शब्दः,வார்த்தை,Language
वाक्य,Sentence,वाक्य,வாக்கியம்,Language
अर्थ,Meaning,अर्थ,பொருள்,Language
व्याकरण,Grammar,व्याकरणम्,இலக்கணம்,Language
उच्चारण,Pronunciation,उच्चारणं,உச்சரிப்பு,Language
लिपि,Script,प्रलेखन,ஸ்கிரிப்ட்,Language
देवनागरी,Devanagari,देवनागरी,தேவநாகரி,Language
अक्षर,Letter of alphabet,वर्णमाला का अक्षर,எழுத்துக்களின் எழுத்து,Language
स्वर,Vowel,स्वरः,உயிரெழுத்து,Language
व्यंजन,Consonant,विसर्गः,மெய்யெழுத்து,Language
अनुवाद,Translation,अनुवाद,மொழிபெயர்ப்பு,Language
कविता,Poem,काव्य,கவிதை,Language
दोहा,Couplet,दम्पती,ஜோடி,Language
कहावत,Proverb,सुभाषितम्,பழமொழி,Language
मुहावरा,Idiom,मुहावरे,பழமொழி,Language
पहेली,Riddle,पहेली,புதிர்,Language
गीत,Song,गीतं,பாடல்,Language
लोकगीत,Folk song,लोकगीत,நாட்டுப்புற பாடல்,Language
लोरी,Lullaby,लोरी,தாலாட்டு,Language
संगीत,Music,संगीतं,இசை,Language
ढोलक,Drum,ढोल,பறை,Language
बाँसुरी,Flute,बांसुरी,புல்லாங்குழல்,Language
तबला,Tabla,तबला,தபலா,Language
नृत्य,Dance form,नृत्यरूपम्,நடன வடிவம்,Language
कहानी,Story,कथा,கதை,Language
लोककथा,Folktale,लोककथा,நாட்டுப்புறக் கதை,Language
परी कथा,Fairy tale,परिकथा,விசித்திரக் கதை,Language
महाकाव्य,Epic,गाथा,காவியம்,Language
रामायण,Ramayana,रामायणः,ராமாயணம்,Language
महाभारत,Mahabharata,महाभारत,மகாபாரதம்,Language
पंचतंत्र,Panchatantra,पञ्चतन्त्रम्,பஞ்சதந்திரம்,Language
परंपरा,Tradition,परंपरा,பாரம்பரியம்,Language
संस्कृति,Culture,संस्कृति,கலாச்சாரம்,Language
विरासत,Heritage,परम्परा,பாரம்பரியம்,Language
रीति रिवाज,Customs,परंपरा,சுங்கம்,Language
त्योहार,Festival,पर्वं,திருவிழா,Language
दीवाली,Diwali,दिवाली,தீபாவளி,Language
होली,Holi,होली,ஹோலி,Language
मेला,Fair,उचितः,நியாயமான,Language
पूजा,Worship,पूज़्,வழிபாடு,Language
आरती,Aarti,आरती,ஆர்த்தி,Language
प्रार्थना,Prayer,प्रार्थना,பிரார்த்தனை,Language
आशीर्वाद,Blessing,आशीर्वादः,ஆசீர்வாதம்,Language
इतिहास,History,इतिहास,வரலாறு,Language
पीढ़ी,Generation,पीढ़ी,தலைமுறை,Language
पूर्वज,Ancestors,पूर्वज,முன்னோர்கள்,Language
बुजुर्ग,Elders,वृद्धाः,பெரியவர்கள்,Language
ज्ञान,Knowledge,ज्ञानम्‌,அறிவு,Language
शिक्षा,Education,शिक्षा,கல்வி,Language
सीख,Lesson,पाठ,பாடம்,Language
भाषा सेतु,BhashaSetu,भाषासेतु,பாஷாசேது,Preservation
सेतु,Bridge of connection,संयोगस्य सेतुः,இணைப்பு பாலம்,Preservation
रोबोट,Robot,रोबोट,ரோபோ,Preservation
यंत्र,Machine,यंत्रं,இயந்திரம்,Preservation
कृत्रिम बुद्धि,Artificial intelligence,कृत्रिमबुद्धि,செயற்கை நுண்ணறிவு,Preservation
कंप्यूटर,Computer,संगणक,கணினி,Preservation
प्रौद्योगिकी,Technology,तन्त्रज्ञान,தொழில்நுட்பம்,Preservation
कैमरा,Camera,कॅमेरा,கேமரா,Preservation
माइक्रोफोन,Microphone,माइक्रोफोन,ஒலிவாங்கி,Preservation
रिकॉर्डिंग,Recording,रिकार्डिङ्ग,பதிவு செய்தல்,Preservation
आवाज़ रिकॉर्ड करना,To record voice,स्वरं रिकार्ड् कर्तुं,குரல் பதிவு செய்ய,Preservation
मैं सुन रहा हूँ,I am listening,अहं शृणोमि,நான் கேட்டுக் கொண்டிருக்கிறேன்,Preservation
कृपया बोलिए,Please speak,कृपया वदतु,தயவுசெய்து பேசுங்கள்,Preservation
कृपया दोहराइए,Please repeat,कृपया पुनः पुनः,மீண்டும் செய்யவும்,Preservation
मुझे एक कहानी सुनाइए,Tell me a story,कथां कथयतु,எனக்கு ஒரு கதை சொல்லுங்கள்,Preservation
मुझे एक गीत सुनाइए,Sing me a song,गीतं मम गायतु,எனக்கு ஒரு பாடல் பாடுங்கள்,Preservation
आपकी आवाज़ सुरक्षित है,Your voice is saved,भवतः स्वरः रक्षितः अस्ति,உங்கள் குரல் சேமிக்கப்பட்டது,Preservation
रिकॉर्डिंग शुरू,Recording started,रिकार्डिङ्ग् आरब्धम्,பதிவு தொடங்கியது,Preservation
रिकॉर्डिंग समाप्त,Recording finished,रिकार्डिङ्ग् समाप्तम्,பதிவு முடிந்தது,Preservation
क्या आप थक गए हैं,Are you tired,किं त्वं श्रान्तः असि,நீங்கள் சோர்வாக இருக்கிறீர்களா,Preservation
आइए थोड़ा आराम करें,Let us rest a while,किञ्चित्कालं विश्रामं कुर्मः,சிறிது நேரம் ஓய்வெடுப்போம்,Preservation
आपका बहुत धन्यवाद,Thank you so much,भूरिशः धन्यवादाः,மிக்க நன்றி,Preservation
विलुप्त भाषा,Endangered language,विलुप्तप्राय भाषा,அழிந்து வரும் மொழி,Preservation
विलुप्त हो रहा,Disappearing,अन्तर्धानं भवति,மறைகிறது,Preservation
संकट में,In danger,संकटे,ஆபத்தில்,Preservation
भाषा संरक्षण,Language preservation,भाषासंरक्षणम्,மொழிப் பாதுகாப்பு,Preservation
बचाना ज़रूरी है,Saving is essential,बचतम् अत्यावश्यकम्,சேமிப்பு அவசியம்,Preservation
जीवित रखना,To keep alive,जीवितं स्थापयितुं,வாழ வைக்க,Preservation
दस्तावेज़,Document,प्रलेख,ஆவணம்,Preservation
संग्रह,Collection,सङ्ग्रह,சேகரிப்பு,Preservation
अभिलेखागार,Archive,लेखागार,காப்பகம்,Preservation
शोध,Research,अनुसंधानम्,ஆராய்ச்சி,Preservation
साक्षात्कार,Interview,साक्षात्कारं,நேர்காணல்,Preservation
अनुमति,Permission,अनुमति,அனுமதி,Preservation
सहमति,Consent,सम्मतिः,சம்மதம்,Preservation
सम्मान,Respect,आदरः,மரியாதை,Preservation
गरिमा,Dignity,गौरवं,கண்ணியம்,Preservation
समुदाय,Community,समुदाय,சமூகம்,Preservation
वारली,Warli,वारली,வார்லி,Preservation
आदिवासी,Tribal,आदिवासी,பழங்குடியினர்,Preservation
वारली चित्रकला,Warli painting,वारली चित्रकला,வார்லி ஓவியம்,Preservation
त्रिभुज,Triangle,त्रिकोणः,முக்கோணம்,Preservation
वृत्त,Circle,वृत्त,வட்டம்,Preservation
तारपा नृत्य,Tarpa dance,तर्प नृत्य,தர்ப்பை நடனம்,Preservation
पालघर,Palghar,पालघर,பால்கர்,Preservation
महाराष्ट्र,Maharashtra,महाराष्ट्र,மகாராஷ்டிரா,Preservation
भविष्य,Future,भविष्य,எதிர்காலம்,Preservation
अतीत,Past,भूत,கடந்த,Preservation
वर्तमान,Present,उपस्थितः,தற்போது,Preservation
नई पीढ़ी,New generation,नवीन पीढी,புதிய தலைமுறை,Preservation
अगली पीढ़ी के लिए,For the next generation,अग्रिमजन्मस्य कृते,அடுத்த தலைமுறைக்கு,Preservation
आप कहाँ रहते हैं,Where do you live,तवं कुत्र वससि,நீங்கள் எங்கு வசிக்கிறீர்கள்,Sentences
आपकी उम्र क्या है,How old are you,भवतः वयः कियत्‌,உங்களுக்கு எவ்வளவு வயது,Sentences
आप क्या करते हैं,What do you do,त्वं किं करोसि,நீ என்ன செய்வாய்,Sentences
आपको क्या पसंद है,What do you like,भवतः किं रोचते,உனக்கு என்ன பிடிக்கும்,Sentences
मुझे यह पसंद है,I like this,मम एतत् रोचते,எனக்கு இது பிடிக்கும்,Sentences
मुझे यह पसंद नहीं है,I do not like this,मम एतत् न रोचते,எனக்கு இது பிடிக்கவில்லை,Sentences
यह क्या है,What is this,इदं किं,என்ன இது,Sentences
वह क्या है,What is that,तत् किम्,அது என்ன,Sentences
यह किसका है,Whose is this,कस्य इति,இது யாருடையது,Sentences
यह कितने का है,How much is this,कियत् इति,இது எவ்வளவு,Sentences
कितना समय लगेगा,How long will it take,कियत्कालं यावत् भवति,எவ்வளவு நேரம் எடுக்கும்,Sentences
रास्ता किधर है,Which way is the road,कः मार्गः मार्गः अस्ति,எந்த வழி சாலை,Sentences
मुझे मदद चाहिए,I need help,मम साहाय्यस्य आवश्यकता अस्ति,எனக்கு உதவி தேவை,Sentences
क्या आप मेरी मदद करेंगे,Will you help me,किं त्वं मम साहाय्यं करिष्यसि,எனக்கு உதவி செய்வாயா,Sentences
मैं आपकी मदद करूँगा,I will help you,अहं भवतः साहाय्यं करिष्यामि,நான் உனக்கு உதவுவேன்,Sentences
चिंता मत कीजिए,Do not worry,चिन्ता मा कुरुत,கவலைப்படாதே,Sentences
सब ठीक हो जाएगा,Everything will be fine,सर्वं सुष्ठु भविष्यति,எல்லாம் சரியாகிவிடும்,Sentences
मुझे भारत से प्यार है,I love India,अहं भारतं प्रेम करोमि,நான் இந்தியாவை நேசிக்கிறேன்,Sentences
मुझे अपनी भाषा से प्यार है,I love my language,मम भाषा मम बहु रोचते,நான் என் மொழியை நேசிக்கிறேன்,Sentences
मुझे गर्व है,I am proud,अहं गर्वितः अस्मि,நான் பெருமைப்படுகிறேன்,Sentences
यह बहुत सुंदर है,This is very beautiful,एतत् अतीव सुन्दरम् अस्ति,இது மிகவும் அழகாக இருக்கிறது,Sentences
मौसम अच्छा है,The weather is nice,मौसमः सुन्दरः अस्ति,வானிலை நன்றாக இருக்கிறது,Sentences
आज बारिश हो रही है,It is raining today,अद्य वर्षा भवति,இன்று மழை பெய்கிறது,Sentences
मैं स्कूल जाता हूँ,I go to school,अहं विद्यालयं गच्छामि,நான் பள்ளிக்குச் செல்கிறேன்,Sentences
मैं पढ़ाई करता हूँ,I am studying,अहं पठामि,நான் படிக்கிறேன்,Sentences
मुझे खेलना पसंद है,I like to play,मम क्रीडनं रोचते,நான் விளையாட விரும்புகிறேன்,Sentences
मुझे संगीत पसंद है,I like music,मम सङ्गीतं रोचते,எனக்கு இசை பிடிக்கும்,Sentences
क्या आप गा सकते हैं,Can you sing,किं भवन्तः गायितुं शक्नुवन्ति,பாட முடியுமா,Sentences
क्या आप नाच सकते हैं,Can you dance,किं भवन्तः नृत्यं कर्तुं शक्नुवन्ति,நடனமாட முடியுமா,Sentences
मुझे कहानियाँ सुनना पसंद है,I love listening to stories,कथाः श्रोतुं मम बहु रोचते,எனக்கு கதைகள் கேட்பது பிடிக்கும்,Sentences
दादी कहानी सुनाती हैं,Grandmother tells stories,पितामही कथाः कथयति,பாட்டி கதைகள் சொல்கிறார்,Sentences
बच्चे खेल रहे हैं,The children are playing,बालकाः क्रीडन्ति,குழந்தைகள் விளையாடுகிறார்கள்,Sentences
पक्षी गा रहे हैं,The birds are singing,पक्षिणः गायन्ति,பறவைகள் பாடுகின்றன,Sentences
सूरज निकल रहा है,The sun is rising,सूर्योदयः,சூரியன் உதிக்கின்றது,Sentences
चाँद चमक रहा है,The moon is shining,चन्द्रः प्रकाशते,சந்திரன் பிரகாசிக்கிறது,Sentences
नदी बह रही है,The river is flowing,नदी प्रवहति,ஆறு ஓடுகிறது,Sentences
फूल खिल रहे हैं,The flowers are blooming,पुष्पाणि प्रफुल्लितानि सन्ति,பூக்கள் பூத்துக் குலுங்குகின்றன,Sentences
दीप जल रहा है,The lamp is burning,दीपः प्रज्वलितः अस्ति,விளக்கு எரிகிறது,Sentences
दरवाज़ा खुला है,The door is open,द्वारं उद्घाटितम् अस्ति,கதவு திறந்திருக்கிறது,Sentences
खाना तैयार है,The food is ready,भोजनं सज्जम् अस्ति,உணவு தயாராக உள்ளது,Sentences
अंदर आइए,Please come inside,कृपया अन्तः आगच्छन्तु,தயவுசெய்து உள்ளே வாருங்கள்,Sentences
बैठिए,Please sit down,कृपया उपविशतु,தயவுசெய்து உட்காருங்கள்,Sentences
पानी पीजिए,Please drink water,कृपया जलं पिबन्तु,தயவுசெய்து தண்ணீர் குடிக்கவும்,Sentences
ध्यान से सुनिए,Listen carefully,ध्यानपूर्वकं शृणुत,கவனமாகக் கேளுங்கள்,Sentences
धीरे चलिए,Walk slowly,मन्दं गच्छतु,மெதுவாக நடக்கவும்,Sentences
जल्दी आइए,Come quickly,शीघ्रम् आगच्छतु,சீக்கிரம் வா,Sentences
यहाँ आइए,Come here,अत्र आगच्छतु,இங்கே வா,Sentences
वहाँ जाइए,Go there,तत्र गच्छतु,அங்கே போ,Sentences
रुकिए,Please stop,कृपया निवर्तते,தயவுசெய்து நிறுத்துங்கள்,Sentences
देखिए,Please look,कृपया पश्यन्तु,தயவுசெய்து பாருங்கள்,Sentences
सत्य बोलो,Speak the truth,सत्यं वदतु,உண்மையைப் பேசு,Wisdom
सत्यमेव जयते,Truth alone triumphs,सत्यमेव विजयते,உண்மை மட்டுமே வெல்லும்,Wisdom
अतिथि देवो भव,The guest is like God,अतिथिः ईश्वर इव अस्ति,விருந்தினர் கடவுளைப் போன்றவர்,Wisdom
विद्या धन है,Knowledge is wealth,ज्ञानं धनम्,அறிவு செல்வம்,Wisdom
ज्ञान शक्ति है,Knowledge is power,ज्ञानं शक्तिः,அறிவு சக்தி,Wisdom
समय बलवान है,Time is powerful,कालः शक्तिशाली अस्ति,நேரம் சக்தி வாய்ந்தது,Wisdom
समय का मूल्य समझो,Value your time,स्वसमयस्य मूल्यं ददातु,உங்கள் நேரத்தை மதிப்பிடுங்கள்,Wisdom
जीवन अनमोल है,Life is precious,जीवनं बहुमूल्यम् अस्ति,வாழ்க்கை விலைமதிப்பற்றது,Wisdom
परिश्रम का फल मीठा होता है,The fruit of hard work is sweet,परिश्रमस्य फलं मधुरं भवति,கடின உழைப்பின் பலன் இனிமையானது,Wisdom
धैर्य रखो,Be patient,धैर्यं धारयतु,பொறுமையாக இருங்கள்,Wisdom
आशा मत छोड़ो,Do not lose hope,आशां न त्यजन्तु,நம்பிக்கையை இழக்காதீர்கள்,Wisdom
दूसरों की मदद करो,Help others,अन्येषां साहाय्यं कुरुत,மற்றவர்களுக்கு உதவுங்கள்,Wisdom
बड़ों का सम्मान करो,Respect your elders,भवतः वृद्धानां सम्मानं कुरुत,உங்கள் பெரியவர்களை மதிக்கவும்,Wisdom
विनम्र रहो,Be humble,विनयशीलः भवतु,அடக்கமாக இருங்கள்,Wisdom
क्षमा करना सीखो,Learn to forgive,क्षन्तुं शिक्षन्तु,மன்னிக்க கற்றுக்கொள்ளுங்கள்,Wisdom
ईमानदारी सबसे अच्छी नीति है,Honesty is the best policy,प्रामाणिकता एव सर्वोत्तमा नीतिः,நேர்மையே சிறந்த கொள்கை,Wisdom
एकता में शक्ति है,There is strength in unity,एकत्वे बलं भवति,ஒற்றுமையில் பலம் உண்டு,Wisdom
बूँद बूँद से सागर बनता है,Drop by drop makes an ocean,बिन्दुः बिन्दुः समुद्रं करोति,துளி துளி ஒரு கடலை உருவாக்குகிறது,Wisdom
जहाँ चाह वहाँ राह,Where there is a will there is a way,यत्र इच्छा अस्ति तत्र मार्गः अस्ति,விருப்பம் உள்ள இடத்தில் ஒரு வழி இருக்கிறது,Wisdom
अभ्यास से सब संभव है,Practice makes everything possible,अभ्यासः सर्वं सम्भवं करोति,பயிற்சி எல்லாவற்றையும் சாத்தியமாக்குகிறது,Wisdom
गिरकर उठना ही जीवन है,To fall and rise again is life,पतनं पुनरुत्थानं च जीवनम्,விழுந்து மீண்டும் எழுவதே வாழ்க்கை,Wisdom
मन के हारे हार है,Defeat begins in the mind,मनसि पराजयः आरभ्यते,தோல்வி மனதிலிருந்தே தொடங்குகிறது,Wisdom
अतीत से सीखो,Learn from the past,अतीतात् शिक्षन्तु,கடந்த காலத்திலிருந்து கற்றுக்கொள்ளுங்கள்,Wisdom
भविष्य की ओर देखो,Look toward the future,भविष्यं प्रति पश्यन्तु,எதிர்காலத்தை நோக்கி பார்,Wisdom
प्रकृति की रक्षा करो,Protect nature,प्रकृतेः रक्षणं कुरुत,இயற்கையை பாதுகாக்கவும்,Wisdom
पेड़ लगाओ,Plant trees,वृक्षान् रोपयन्तु,மரங்களை நடவும்,Wisdom
पानी बचाओ,Save water,जलं रक्षतु,தண்ணீரை சேமிக்கவும்,Wisdom
संस्कृति को जीवित रखो,Keep culture alive,संस्कृतिं जीवितं कुर्वन्तु,கலாச்சாரத்தை வாழ வைக்க,Wisdom
अपनी भाषा पर गर्व करो,Be proud of your language,स्वभाषायाः गर्वः भवतु,உங்கள் மொழியில் பெருமை கொள்ளுங்கள்,Wisdom
भाषा संस्कृति की आत्मा है,Language is the soul of culture,भाषा संस्कृतिस्य आत्मा अस्ति,மொழி என்பது கலாச்சாரத்தின் ஆன்மா,Wisdom
हर भाषा अनमोल है,Every language is priceless,प्रत्येकं भाषा अमूल्यम् अस्ति,ஒவ்வொரு மொழியும் விலைமதிப்பற்றது,Wisdom
शब्दों में शक्ति होती है,Words have power,शब्दानां शक्तिः भवति,வார்த்தைகளுக்கு சக்தி உண்டு,Wisdom
कहानियाँ हमें जोड़ती हैं,Stories connect us,कथाः अस्मान् संयोजयन्ति,கதைகள் நம்மை இணைக்கின்றன,Wisdom
बुजुर्गों की बातें सुनो,Listen to the elders,वृद्धानां वचनं शृणुत,பெரியவர்கள் சொல்வதைக் கேளுங்கள்,Wisdom
अगली पीढ़ी के लिए सोचो,Think of the next generation,अग्रिमजन्मस्य विषये चिन्तयतु,அடுத்த தலைமுறையை நினைத்துப் பாருங்கள்,Wisdom
एक बार की बात है,Once upon a time,एकदा,ஒரு காலத்தில்,Stories
पहाड़ों के बीच एक छोटा सा गाँव था,There was a small village among the mountains,पर्वतानां मध्ये एकः लघुः ग्रामः आसीत्,மலைகளுக்கு நடுவே ஒரு சிறிய கிராமம் இருந்தது,Stories
उस गाँव में एक बुज़ुर्ग महिला रहती थी,An elderly woman lived in that village,तस्मिन् ग्रामे एका वृद्धा महिला निवसति स्म,அந்த ஊரில் ஒரு வயதான பெண்மணி வசித்து வந்தார்,Stories
वह अपनी पुरानी भाषा बोलती थी,She spoke her old language,सा स्वस्य पुरातनभाषां वदति स्म,அவள் பழைய மொழி பேசினாள்,Stories
उसकी कहानियाँ बहुत सुंदर थीं,Her stories were very beautiful,तस्याः कथाः अतीव सुन्दराः आसन्,அவளுடைய கதைகள் மிகவும் அழகாக இருந்தன,Stories
लेकिन अब कोई सुनने वाला नहीं था,But now there was no one to listen,परन्तु इदानीं श्रोतुं कोऽपि नासीत्,ஆனால் இப்போது கேட்க யாரும் இல்லை,Stories
बच्चे शहर चले गए थे,The children had moved to the city,बालकाः नगरं गतवन्तः आसन्,பிள்ளைகள் ஊருக்குச் சென்றுவிட்டனர்,Stories
उसकी भाषा धीरे धीरे खो रही थी,Her language was slowly being lost,तस्याः भाषा शनैः शनैः नष्टा भवति स्म,அவளுடைய மொழி மெல்ல மெல்ல அழிந்தது,Stories
एक दिन एक छोटा रोबोट गाँव आया,One day a small robot came to the village,एकस्मिन् दिने एकः लघुः रोबोट् ग्रामम् आगतः,ஒரு நாள் அந்த கிராமத்திற்கு ஒரு சிறிய ரோபோ வந்தது,Stories
उसका नाम भाषा सेतु था,Its name was BhashaSetu,अस्य नाम भाषासेतुः आसीत्,அதன் பெயர் பாஷாசேது,Stories
