hindi_phrase,english_translation,sanskrit_translation,tamil_translation,odia_translation,category
पुस्तकालय,Library,पुस्तकालय,நூலகம்,ଲାଇବ୍ରେରୀ |,Places
अस्पताल,Hospital,चिकित्सालय,மருத்துவமனை,ଡାକ୍ତରଖାନା,Places
मंदिर,Temple,मंदिर,கோவில்,ମନ୍ଦିର,Places
मस्जिद,Mosque,मस्जिद,மசூதி,ମସଜିଦ,Places
गिरजाघर,Church,चर्च,தேவாலயம்,ଚର୍ଚ୍ଚ,Places
गुरुद्वारा,Gurudwara,गुरुद्वारा,குருத்வாரா,ଗୁରୁଦ୍ୱାର,Places
स्टेशन,Station,स्थानः,நிலையம்,ଷ୍ଟେସନ |,Places
हवाई अड्डा,Airport,वायुपत्तनं,விமான நிலையம்,ବିମାନବନ୍ଦର,Places
पुल,Bridge,सेतु,பாலம்,ବ୍ରିଜ୍,Places
बगीचा,Garden,उद्यान,தோட்டம்,ଉଦ୍ୟାନ,Places
मैदान,Playground,क्रीडाङ्गणम्,விளையாட்டு மைதானம்,ଖେଳ ପଡିଆ,Places
कुआँ,Well,कूपः,சரி,ଠିକ୍ ଅଛି |,Places
आँगन,Courtyard,प्राङ्गणम्,முற்றம்,ପ୍ରାଙ୍ଗଣ,Places
रसोई,Kitchen,पाकशाला,சமையலறை,ରୋଷେଇ ଘର |,Places
कमरा,Room,कक्ष,அறை,କୋଠରୀ |,Places
दरवाज़ा,Door,द्वारम्,கதவு,ଦ୍ୱାର,Places
खिड़की,Window,कोष्ठ,ஜன்னல்,ୱିଣ୍ଡୋ |,Places
छत,Roof,छाद,கூரை,ଛାତ,Places
दीवार,Wall,भित्ति,சுவர்,କାନ୍ଥ,Places
सीढ़ी,Stairs,चरणाः,படிக்கட்டுகள்,ପାହାଚ,Places
संग्रहालय,Museum,संग्रहालय,அருங்காட்சியகம்,ସଂଗ୍ରହାଳୟ,Places
किला,Fort,दुर्गः,கோட்டை,ଦୁର୍ଗ,Places
महल,Palace,प्रासादः,அரண்மனை,ପ୍ରାସାଦ,Places
बिस्तर,Bed,शय्या,படுக்கை,ଶଯ୍ୟା,Daily Life
कुर्सी,Chair,आसन्द,நாற்காலி,ଚେୟାର,Daily Life
मेज़,Table,पीठिका,அட்டவணை,ସାରଣୀ,Daily Life
दीपक,Lamp,दीपकः,விளக்கு,ଦୀପ,Daily Life
लालटेन,Lantern,लालटेन,விளக்கு,ଲଣ୍ଠନ,Daily Life
पीतल की लालटेन,Brass lantern,पीतले लालटेन,பித்தளை விளக்கு,ପିତ୍ତଳ ଲଣ୍ଠନ |,Daily Life
मोमबत्ती,Candle,मोमबत्ती,மெழுகுவர்த்தி,ମହମବତୀ |,Daily Life
दर्पण,Mirror,दर्पण,கண்ணாடி,ଦର୍ପଣ |,Daily Life
घड़ी,Clock,घटिका,கடிகாரம்,ଘଣ୍ଟା |,Daily Life
चाबी,Key,कुंजी,முக்கிய,ଚାବି,Daily Life
ताला,Lock,ताल,பூட்டு,ଲକ୍ କରନ୍ତୁ |,Daily Life
थैला,Bag,भ्रस्ता,பை,ବ୍ୟାଗ୍,Daily Life
बर्तन,Utensils,पात्रम्,பாத்திரங்கள்,ବାସନ,Daily Life
मटका,Clay pot,मृत्तिका घटः,மண் பானை,ମାଟି ହାଣ୍ଡି |,Daily Life
थाली,Plate,स्थालिका,தட்டு,ପ୍ଲେଟ୍ |,Daily Life
कटोरी,Bowl,पाल,கிண்ணம்,ପାତ୍ର,Daily Life
गिलास,Glass,चषक,கண்ணாடி,ଗ୍ଲାସ,Daily Life
चम्मच,Spoon,चमस,கரண்டி,ଚାମଚ |,Daily Life
चूल्हा,Stove,चुल्लिका,அடுப்பு,ଚୁଲି |,Daily Life
झाड़ू,Broom,ऊहनी,விளக்குமாறு,ବର,Daily Life
रस्सी,Rope,रज्जु,கயிறு,ଦଉଡି,Daily Life
टोकरी,Basket,टोकरी,கூடை,ଟୋକେଇ |,Daily Life
कपड़े,Clothes,वस्त्राणि,ஆடைகள்,ପୋଷାକ,Daily Life
साड़ी,Saree,साड़ी,சேலை,ସାର୍,Daily Life
कुर्ता,Kurta,कुर्ता,குர்தா,କୁର୍ତ୍ତା |,Daily Life
धोती,Dhoti,धोती,தோட்டி,ଧୋତି,Daily Life
दुपट्टा,Scarf,उत्तरीय,தாவணி,ସ୍କାର୍ଫ |,Daily Life
जूते,Shoes,पादत्र,காலணிகள்,ଜୋତା |,Daily Life
चप्पल,Slippers,चप्पलम्,செருப்புகள்,ଚପଲ,Daily Life
टोपी,Hat,हत्,தொப்பி,ଟୋପି,Daily Life
चश्मा,Spectacles,चश्मा,கண்ணாடிகள்,ଦର୍ଶକ,Daily Life
छाता,Umbrella,छात्र,குடை,ଛତା,Daily Life
गहने,Jewelry,कर्णाभरन,நகைகள்,ଅଳଙ୍କାର |,Daily Life
चूड़ी,Bangle,चूड़ी,வளையல்,ବଙ୍ଗଳା |,Daily Life
अंगूठी,Ring,वर्तुल,மோதிரம்,ରିଙ୍ଗ୍ |,Daily Life
हार,Necklace,कर्णहार,நெக்லஸ்,ହାର,Daily Life
किताब,Book,पुस्तकम्‌,புத்தகம்,ବୁକ୍ କର |,Daily Life
कलम,Pen,लेखनी,பேனா,କଲମ,Daily Life
पेंसिल,Pencil,अङ्कनी,பென்சில்,ପେନ୍ସିଲ୍ |,Daily Life
कागज़,Paper,पत्रं,காகிதம்,କାଗଜ |,Daily Life
चिट्ठी,Letter,पत्रम्,கடிதம்,ଚିଠି,Daily Life
तस्वीर,Photo,चित्रं,புகைப்படம்,ଫଟୋ,Daily Life
खिलौना,Toy,खिलौना,பொம்மை,ଖେଳନା,Daily Life
गेंद,Ball,कन्दुक,பந்து,ବଲ୍ |,Daily Life
पतंग,Kite,पतंगं,காத்தாடி,କିଟ୍,Daily Life
साइकिल,Bicycle,द्विचक्रिका,சைக்கிள்,ସାଇକେଲ,Daily Life
गाड़ी,Car,कारयानम्‌,கார்,କାର,Daily Life
बस,Bus,बस,பேருந்து,ବସ୍,Daily Life
रेलगाड़ी,Train,रेलयानम्‌,ரயில்,ଟ୍ରେନ୍,Daily Life
नाव,Boat,नौका,படகு,ଡଙ୍ଗା,Daily Life
पैसा,Money,मुद्रा,பணம்,ଟଙ୍କା,Daily Life
काम,Work,कार्यम्‌,வேலை,କାମ କର |,Daily Life
आराम,Rest,विश्रान्तिः,ஓய்வு,ବିଶ୍ରାମ,Daily Life
नींद,Sleep,शयनं करोतु,தூங்கு,ଶୋଇବା |,Daily Life
सपना,Dream,स्वप्न,கனவு,ସ୍ୱପ୍ନ |,Daily Life
किसान,Farmer,कृषक,விவசாயி,କୃଷକ,Professions
शिक्षक,Teacher,अध्यापकः,ஆசிரியர்,ଶିକ୍ଷକ,Professions
डॉक्टर,Doctor,चिकितसिक,டாக்டர்,ଡାକ୍ତର,Professions
नर्स,Nurse,उपचर,செவிலியர்,ନର୍ସ,Professions
इंजीनियर,Engineer,अभियंता,பொறியாளர்,ଇଞ୍ଜିନିୟର,Professions
वैज्ञानिक,Scientist,वैज्ञानिकाः,விஞ்ஞானி,ବ Scient ଜ୍ଞାନିକ,Professions
छात्र,Student,विद्यार्थी,மாணவர்,ଛାତ୍ର,Professions
लेखक,Writer,लेखकः,எழுத்தாளர்,ଲେଖକ,Professions
कवि,Poet,कवि,கவிஞர்,କବି,Professions
गायक,Singer,गायकः,பாடகர்,ଗାୟକ,Professions
नर्तक,Dancer,नर्तकी,நடனக் கலைஞர்,ନୃତ୍ୟଶିଳ୍ପୀ,Professions
कलाकार,Artist,कलाकार,கலைஞர்,କଳାକାର,Professions
चित्रकार,Painter,चित्रकार,ஓவியர்,ଚିତ୍ରକାର,Professions
संगीतकार,Musician,संगीतकार,இசைக்கலைஞர்,ସଂଗୀତଜ୍ଞ,Professions
कहानीकार,Storyteller,कथाकार,கதைசொல்லி,କାହାଣୀକାର,Professions
बढ़ई,Carpenter,तक्षक,தச்சர்,ବ pent ଼େଇ,Professions
लोहार,Blacksmith,लोहारः,கொல்லன்,କୃଷ୍ଣକାୟ,Professions
कुम्हार,Potter,कुम्भकारः,குயவன்,କୁମ୍ଭାର,Professions
बुनकर,Weaver,बुनकर,நெசவாளர்,ବୁଣାକାର,Professions
दर्जी,Tailor,दर्जी,தையல்காரர்,ଟେଲର୍ |,Professions
मछुआरा,Fisherman,मत्स्यजीवी,மீனவர்,ମତ୍ସ୍ୟଜୀବୀ |,Professions
चरवाहा,Shepherd,गोपालकः,மேய்ப்பன்,ମେଷପାଳକ,Professions
व्यापारी,Merchant,वणिक्‌,வணிகர்,ବ୍ୟବସାୟୀ,Professions
दुकानदार,Shopkeeper,दुकानदार,கடைக்காரர்,ଦୋକାନୀ,Professions
रसोइया,Cook,पचति,சமைக்கவும்,ରାନ୍ଧ |,Professions
माली,Gardener,माली,தோட்டக்காரர்,ବଗିଚା,Professions
सिपाही,Soldier,भट,சிப்பாய்,ସ old ନିକ,Professions
राजा,King,राजा,அரசன்,ରାଜା,Professions
रानी,Queen,राज्ञी,ராணி,ରାଣୀ,Professions
संत,Saint,संत,புனிதர்,ସେଣ୍ଟ,Professions
पुजारी,Priest,पुरोहित,பாதிரியார்,ପୁରୋହିତ,Professions
विद्वान,Scholar,विद्वान,அறிஞர்,ବିଦ୍ୱାନ |,Professions
नेता,Leader,नेता,தலைவர்,ନେତା,Professions
खिलाड़ी,Player,खिलाडी,வீரர்,ପ୍ଲେୟାର,Professions
आना,To come,आगन्तुम्,வர,ଆସିବାକୁ,Actions
जाना,To go,गन्तुं,செல்ல,ଯିବାକୁ,Actions
खाना खाना,To eat,खादितुम्,சாப்பிடுவதற்கு,ଖାଇବାକୁ,Actions
पीना,To drink,पिबितुं,குடிக்க,ପିଇବା ପାଇଁ |,Actions
सोना,To sleep,निद्रां कर्तुं,தூங்குவதற்கு,ଶୋଇବା ପାଇଁ |,Actions
जागना,To wake up,जागरणार्थम्,எழுந்திருக்க,ଜାଗ୍ରତ ହେବା,Actions
उठना,To get up,उत्थाय,எழுவதற்கு,ଉଠିବାକୁ,Actions
बैठना,To sit,उपविष्टुं,உட்கார,ବସିବା ପାଇଁ |,Actions
खड़ा होना,To stand,स्थातुं,நிற்க,ଠିଆ ହେବାକୁ,Actions
चलना,To walk,चलितुं,நடக்க,ଚାଲିବା ପାଇଁ |,Actions
दौड़ना,To run,धावितुं,ஓடுவதற்கு,ଚଲାଇବାକୁ,Actions
रुकना,To stop,निवर्तयितुं,நிறுத்த,ବନ୍ଦ କରିବାକୁ,Actions
कूदना,To jump,कूर्दितुं,குதிக்க,ଡେଇଁବା ପାଇଁ |,Actions
तैरना,To swim,तरितुं,நீந்த வேண்டும்,ପହଁରିବା ପାଇଁ |,Actions
उड़ना,To fly,उड्डीयन्ते इति,பறக்க,ଉଡିବା ପାଇଁ |,Actions
गिरना,To fall,पतनम्,விழ,ପଡ଼ିବା,Actions
देखना,To see,द्रष्टुं,பார்க்க,ଦେଖିବାକୁ,Actions
सुनना,To listen,श्रोतुं,கேட்க,ଶୁଣିବାକୁ,Actions
बोलना,To speak,वक्तुं,பேசுவதற்கு,କହିବାକୁ,Actions
कहना,To say,वक्तुं,சொல்வதற்கு,କହିବାକୁ,Actions
पूछना,To ask,पृच्छितुं,கேட்பதற்கு,ପଚାରିବାକୁ,Actions
बताना,To tell,कथयितुं,சொல்ல,କହିବାକୁ,Actions
पढ़ना,To read,पठितुं,படிக்க,ପ To ିବାକୁ |,Actions
लिखना,To write,लेखनार्थम्,எழுதுவதற்கு,ଲେଖିବାକୁ,Actions
सीखना,To learn,शिक्षितुं,கற்றுக்கொள்ள,ଶିଖିବାକୁ,Actions
सिखाना,To teach,पाठयितुं,கற்பிக்க,ଶିକ୍ଷା ଦେବା,Actions
समझना,To understand,अवगन्तुम्,புரிந்து கொள்ள,ବୁ understand ିବାକୁ,Actions
सोचना,To think,चिन्तयितुं,சிந்திக்க,ଭାବିବାକୁ,Actions
जानना,To know,ज्ञातुं,தெரிந்து கொள்ள,ଜାଣିବା ପାଇଁ |,Actions
भूलना,To forget,विस्मरणार्थम्,மறக்க வேண்டும்,ଭୁଲିଯିବାକୁ,Actions
याद रखना,To remember,स्मरणार्थम्,நினைவில் கொள்ள,ମନେରଖିବାକୁ |,Actions
खोजना,To search,अन्वेषणार्थम्,தேடுவதற்கு,ଖୋଜିବାକୁ |,Actions
पाना,To find,अन्वेष्टुं,கண்டுபிடிக்க,ଖୋଜିବା ପାଇଁ,Actions
खोना,To lose,हानिम्,இழக்க,ହରାଇବାକୁ,Actions
देना,To give,दातुं,கொடுக்க,ଦେବାକୁ,Actions
लेना,To take,ग्रहीतुं,எடுக்க,ନେବାକୁ,Actions
रखना,To keep,स्थापयितुं,வைக்க,ରଖିବାକୁ,Actions
उठाना,To lift,उत्थापयितुं,தூக்குவதற்கு,ଉଠାଇବାକୁ,Actions
खोलना,To open,उद्घाटयितुं,திறக்க,ଖୋଲିବାକୁ |,Actions
बंद करना,To close,निमीलितुं,மூடுவதற்கு,ବନ୍ଦ କରିବାକୁ,Actions
बनाना,To make,कर्तुं,செய்ய,ତିଆରି କରିବାକୁ |,Actions
तोड़ना,To break,भङ्गं कर्तुं,உடைக்க,ଭାଙ୍ଗିବା ପାଇଁ |,Actions
जोड़ना,To join,सम्मिलितुं,சேர,ଯୋଗଦାନ କରିବାକୁ,Actions
काटना,To cut,छिन्दितुं,வெட்டுவதற்கு,କାଟିବା ପାଇଁ |,Actions
सिलना,To sew,सिवितुं,தைக்க,ସିଲେଇ କରିବାକୁ |,Actions
धोना,To wash,प्रक्षालितुं,கழுவ வேண்டும்,ଧୋଇବା ପାଇଁ |,Actions
साफ करना,To clean,स्वच्छं कर्तुं,சுத்தம் செய்ய,ସଫା କରିବାକୁ,Actions
पकाना,To cook,पाकं कर्तुं,சமைக்க,ରାନ୍ଧିବା ପାଇଁ |,Actions
गाना गाना,To sing,गायितुं,பாடுவதற்கு,ଗୀତ ଗାଇବା,Actions
नाचना,To dance,नृत्यं कर्तुं,நடனமாட,ନାଚିବା ପାଇଁ |,Actions
बजाना,To play music,सङ्गीतं वादयितुं,இசையை இசைக்க,ସଂଗୀତ ବଜାଇବା ପାଇଁ |,Actions
खेलना,To play,क्रीडितुं,விளையாட,ଖେଳିବାକୁ,Actions
हँसना,To laugh,हसितुं,சிரிக்க,ହସିବାକୁ,Actions
रोना,To cry,रोदितुम्,அழுவதற்கு,କାନ୍ଦିବା,Actions
मुस्कुराना,To smile,स्मितं कर्तुं,புன்னகைக்க,ହସିବାକୁ,Actions
प्यार करना,To love,प्रेम्णा,காதலிக்க,ପ୍ରେମ କରିବାକୁ,Actions
मदद करना,To help,साहाय्यं कर्तुं,உதவி செய்ய,ସାହାଯ୍ୟ କରିବାକୁ,Actions
इंतज़ार करना,To wait,प्रतीक्षां कर्तुं,காத்திருக்க,ଅପେକ୍ଷା କରିବାକୁ,Actions
मिलना,To meet,मिलितुं,சந்திக்க,ସାକ୍ଷାତ କରିବାକୁ,Actions
बुलाना,To call,आह्वानं कर्तुं,அழைக்க,କଲ୍ କରିବାକୁ,Actions
भेजना,To send,प्रेषयितुं,அனுப்புவதற்கு,ପଠାଇବାକୁ,Actions
लाना,To bring,आनयितुं,கொண்டு வர,ଆଣିବାକୁ,Actions
ले जाना,To carry away,अपहरणं कर्तुं,எடுத்துச் செல்ல,ବହନ କରିବାକୁ,Actions
खरीदना,To buy,क्रेतुं,வாங்க,କିଣିବା ପାଇଁ |,Actions
बेचना,To sell,विक्रयणार्थम्,விற்க,ବିକ୍ରୟ କରିବାକୁ,Actions
जीतना,To win,विजयाय,வெற்றி பெற,ଜିତିବାକୁ |,Actions
हारना,To lose a game,क्रीडां हातुं,ஒரு விளையாட்டை இழக்க,ଏକ ଖେଳ ହରାଇବାକୁ |,Actions
शुरू करना,To begin,आरम्भार्थम्,தொடங்குவதற்கு,ଆରମ୍ଭ କରିବାକୁ,Actions
खत्म करना,To finish,समाप्तुं,முடிக்க,ଶେଷ କରିବାକୁ,Actions
कोशिश करना,To try,प्रयासं कर्तुं,முயற்சி செய்ய,ଚେଷ୍ଟା କରିବାକୁ,Actions
बदलना,To change,परिवर्तनार्थम्,மாற்றுவதற்கு,ପରିବର୍ତ୍ତନ କରିବାକୁ,Actions
बढ़ना,To grow,वर्धयितुं,வளர,ବ To ିବାକୁ,Actions
जीना,To live,जीवितुं,வாழ வேண்டும்,ବଞ୍ଚିବା ପାଇଁ |,Actions
बचाना,To save,रक्षितुं,சேமிக்க,ସଞ୍ଚୟ କରିବାକୁ,Actions
रक्षा करना,To protect,रक्षणार्थम्,பாதுகாக்க,ସୁରକ୍ଷା ପାଇଁ,Actions
बड़ा,Big,विशालः,பெரிய,ବଡ,Describing
छोटा,Small,लघु,சிறியது,ଛୋଟ,Describing
लंबा,Tall,उन्नतः,உயரமான,ଲମ୍ବା,Describing
नाटा,Short,वामनः,குறுகிய,ସଂକ୍ଷିପ୍ତ,Describing
मोटा,Fat,स्थूलः,கொழுப்பு,ମୋଟା,Describing
पतला,Thin,कृशः,மெல்லிய,ପତଳା |,Describing
नया,New,नूतनम्‌,புதியது,ନୂତନ,Describing
पुराना,Old thing,पुरातनं वस्तु,பழைய விஷயம்,ପୁରୁଣା ଜିନିଷ |,Describing
जवान,Young,युवा,இளம்,ଯୁବକ,Describing
बूढ़ा,Old person,वृद्धः व्यक्तिः,வயதானவர்,ବୃଦ୍ଧ ବ୍ୟକ୍ତି,Describing
अच्छा,Good,शोभन,நல்லது,ଭଲ,Describing
बुरा,Bad,असमीचीनः,மோசமான,ଖରାପ,Describing
सुंदर,Beautiful,सुन्दरम्‌,அழகான,ସୁନ୍ଦର,Describing
बदसूरत,Ugly,कुरूपः,அசிங்கமான,ଅଶୁଭ,Describing
तेज़,Fast,उपवासः,வேகமாக,ଦ୍ରୁତ,Describing
धीमा,Slow,मन्द,மெதுவாக,ଧୀର,Describing
गरम,Hot,उष्णः,சூடான,ଗରମ |,Describing
ठंडा,Cold thing,शीतं वस्तु,குளிர் விஷயம்,ଶୀତଳ ଜିନିଷ |,Describing
मीठा,Sweet,मधुरम्‌,இனிப்பு,ମିଠା,Describing
कड़वा,Bitter,तिक्त,கசப்பான,ତିକ୍ତ |,Describing
खट्टा,Sour,अम्ल,புளிப்பு,ଖଟା |,Describing
तीखा,Spicy,अवलेह,காரமான,ମସଲାଯୁକ୍ତ |,Describing
नरम,Soft,मृदु,மென்மையானது,ନରମ |,Describing
कठोर,Hard,रूक्षः,கடினமான,କଠିନ |,Describing
हल्का,Light weight,लघु भार,லேசான எடை,ହାଲୁକା ଓଜନ |,Describing
भारी,Heavy,भारयुक्तम्‌,கனமானது,ଭାରୀ,Describing
साफ,Clean,स्वच्छम्‌,சுத்தமான,ପରିଷ୍କାର,Describing
गंदा,Dirty,मलिनम्‌,அழுக்கு,ମଇଳା,Describing
गीला,Wet,आर्द्रम्‌,ஈரமானது,ଓଦା,Describing
सूखा,Dry,शुष्कः,உலர்,ଶୁଖିଲା |,Describing
खाली,Empty,रिक्तम्‌,காலி,ଖାଲି,Describing
पास,Near,समीपः,அருகில்,ନିକଟରେ,Describing
दूर,Far,दूरम्‌,தூரம்,ଦୂର,Describing
ऊँचा,High,उच्चैः,உயர்,ଉଚ୍ଚ,Describing
नीचा,Low,न्यूनम्‌,குறைந்த,ନିମ୍ନ,Describing
गहरा,Deep,अधः,ஆழமான,ଗଭୀର,Describing
चौड़ा,Wide,विस्तृतः,பரந்த,ବ୍ୟାପକ,Describing
सस्ता,Cheap,अल्पमूल्यम्‌,மலிவானது,ଶସ୍ତା,Describing
महँगा,Expensive,बहुमूल्यम्‌,விலை உயர்ந்தது,ବ୍ୟୟବହୁଳ |,Describing
आसान,Easy,सरलम्‌,எளிதானது,ସହଜ,Describing
मुश्किल,Difficult,कठिनम्‌,கடினமானது,କଷ୍ଟକର |,Describing
सही,Correct,उचितं,சரி,ସଠିକ୍,Describing
गलत,Wrong,दोषपूर्णः,தவறு,ଭୁଲ,Describing
अमीर,Rich,धनिकः,பணக்காரர்,ଧନୀ,Describing
गरीब,Poor,निर्धनः,ஏழை,ଗରିବ,Describing
बहादुर,Brave,वीरः,துணிச்சலான,ସାହସୀ,Describing
डरपोक,Cowardly,कायरः,கோழைத்தனம்,ଭୟଭୀତ |,Describing
बुद्धिमान,Intelligent,चतुरः,புத்திசாலி,ବୁଦ୍ଧିମାନ,Describing
समझदार,Wise,पण्डितः,புத்திசாலி,ଜ୍ଞାନୀ,Describing
ईमानदार,Honest,सत्यरतः,நேர்மையானவர்,ସଚ୍ଚୋଟ,Describing
दयालु,Kind,दयालु,வகையான,ଦୟାଳୁ,Describing
शांत,Quiet,शांतिम्,அமைதியான,ଶାନ୍ତ,Describing
व्यस्त,Busy,व्यस्तः,பிஸி,ବ୍ୟସ୍ତ,Describing
खास,Special,विशेषः,சிறப்பு,ବିଶେଷ,Describing
अनोखा,Unique,अद्वितीयः,தனித்துவமானது,ଅନନ୍ୟ |,Describing
मशहूर,Famous,प्रसिद्धः,பிரபலம்,ପ୍ରସିଦ୍ଧ,Describing
जरूरी,Important,महत्वपूर्णः,முக்கியமானது,ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ |,Describing
खुश,Happy,प्रसन्नः,மகிழ்ச்சி,ଖୁସି,Emotions
दुखी,Sad,सद्,வருத்தம்,ଦୁ Sad ଖ,Emotions
गुस्सा,Angry,क्रुद्धः,கோபம்,କ୍ରୋଧିତ |,Emotions
डर,Fear,भयम्‌,பயம்,ଭୟ,Emotions
साहस,Courage,साहस,தைரியம்,ସାହସ,Emotions
आशा,Hope,आशा,நம்பிக்கை,ଆଶା,Emotions
निराशा,Despair,निराशा,விரக்தி,ହତାଶ |,Emotions
गर्व,Pride,अभिमानः,பெருமை,ଗର୍ବ,Emotions
शर्म,Shame,लज्जा,அவமானம்,ଲଜ୍ଜା |,Emotions
प्रेम,Love,स्नेहः,அன்பு,ପ୍ରେମ,Emotions
नफरत,Hatred,द्वेषः,வெறுப்பு,ଘୃଣା,Emotions
ईर्ष्या,Jealousy,ईर्ष्या,பொறாமை,Ealous ର୍ଷା,Emotions
संतोष,Satisfaction,संतुष्टि,திருப்தி,ତୃପ୍ତି,Emotions
शांति,Peace,शान्तिः,அமைதி,ଶାନ୍ତି,Emotions
चिंता,Worry,चिंता,கவலை,ଚିନ୍ତା କର |,Emotions
राहत,Relief,उपशम्,நிவாரணம்,ରିଲିଫ୍,Emotions
दर्द,Pain,पीडा,வலி,ଯନ୍ତ୍ରଣା,Emotions
आनंद,Joy,आनंदं,மகிழ்ச்சி,ଆନନ୍ଦ,Emotions
मज़ा,Fun,परिहासः,வேடிக்கை,ମଜା,Emotions
हैरानी,Surprise,आश्चर्य,ஆச்சரியம்,ଆଶ୍ଚର୍ଯ୍ୟ,Emotions
अकेलापन,Loneliness,एकान्तता,தனிமை,ଏକାକୀତା,Emotions
याद,Memory of someone,कस्यचित् स्मृतिः,ஒருவரின் நினைவு,କାହାର ସ୍ମୃତି,Emotions
पछतावा,Regret,खेदः,வருத்தம்,ଅନୁତାପ,Emotions
क्षमा,Forgiveness,क्षमा,மன்னித்தல்,କ୍ଷମା,Emotions
कृतज्ञता,Gratitude,कृतवेदित्व,நன்றியுணர்வு,କୃତଜ୍ଞତା,Emotions
विश्वास,Trust,न्यासः,நம்பிக்கை,ବିଶ୍ୱାସ,Emotions
उत्साह,Enthusiasm,उत्साह,உற்சாகம்,ଉତ୍ସାହ,Emotions
धैर्य,Patience,सहिष्णुता,பொறுமை,ଧ ati ର୍ଯ୍ୟ,Emotions
करुणा,Compassion,करुणा,இரக்கம்,ଦୟା,Emotions
ममता,Motherly love,मातृप्रेम,தாயின் அன்பு,ମାତୃ ପ୍ରେମ |,Emotions
भाषा,Language,भाषा,மொழி,ଭାଷା,Language
मातृभाषा,Mother tongue,मातृभाषा,தாய்மொழி,ମାତୃଭାଷା |,Language
बोली,Dialect,बोली,பேச்சுவழக்கு,ସଂଳାପ,Language
शब्द,Word,शब्दः,வார்த்தை,ଶବ୍ଦ,Language
वाक्य,Sentence,वाक्य,வாக்கியம்,ବାକ୍ୟ,Language
अर्थ,Meaning,अर्थ,பொருள்,ଅର୍ଥ,Language
व्याकरण,Grammar,व्याकरणम्,இலக்கணம்,ବ୍ୟାକରଣ,Language
उच्चारण,Pronunciation,उच्चारणं,உச்சரிப்பு,ଉଚ୍ଚାରଣ,Language
लिपि,Script,प्रलेखन,ஸ்கிரிப்ட்,ସ୍କ୍ରିପ୍ଟ,Language
देवनागरी,Devanagari,देवनागरी,தேவநாகரி,ଦେବନାଗରୀ |,Language
अक्षर,Letter of alphabet,वर्णमाला का अक्षर,எழுத்துக்களின் எழுத்து,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର,Language
स्वर,Vowel,स्वरः,உயிரெழுத்து,ସ୍ ow ର,Language
व्यंजन,Consonant,विसर्गः,மெய்யெழுத்து,ବ୍ୟଞ୍ଜନ,Language
अनुवाद,Translation,अनुवाद,மொழிபெயர்ப்பு,ଅନୁବାଦ,Language
कविता,Poem,काव्य,கவிதை,କବିତା,Language
दोहा,Couplet,दम्पती,ஜோடி,ଦମ୍ପତି,Language
कहावत,Proverb,सुभाषितम्,பழமொழி,ପ୍ରବାଦ,Language
मुहावरा,Idiom,मुहावरे,பழமொழி,Idiom,Language
पहेली,Riddle,पहेली,புதிர்,ଉପହାସ,Language
गीत,Song,गीतं,பாடல்,ଗୀତ,Language
लोकगीत,Folk song,लोकगीत,நாட்டுப்புற பாடல்,ଲୋକ ଗୀତ,Language
लोरी,Lullaby,लोरी,தாலாட்டு,ଲୁଲାବି |,Language
संगीत,Music,संगीतं,இசை,ସଙ୍ଗୀତ,Language
ढोलक,Drum,ढोल,பறை,ଡ଼୍ରମ୍ |,Language
बाँसुरी,Flute,बांसुरी,புல்லாங்குழல்,ବଂଶୀ,Language
तबला,Tabla,तबला,தபலா,ତବଲା |,Language
नृत्य,Dance form,नृत्यरूपम्,நடன வடிவம்,ନୃତ୍ୟ ଫର୍ମ |,Language
कहानी,Story,कथा,கதை,କାହାଣୀ,Language
लोककथा,Folktale,लोककथा,நாட்டுப்புறக் கதை,ଲୋକନୃତ୍ୟ |,Language
परी कथा,Fairy tale,परिकथा,விசித்திரக் கதை,କାହାଣୀ |,Language
महाकाव्य,Epic,गाथा,காவியம்,ଏପିକ୍,Language
रामायण,Ramayana,रामायणः,ராமாயணம்,ରାମାୟଣ |,Language
महाभारत,Mahabharata,महाभारत,மகாபாரதம்,ମହାଭାରତ,Language
पंचतंत्र,Panchatantra,पञ्चतन्त्रम्,பஞ்சதந்திரம்,ପଞ୍ଚଚନ୍ଦ୍ର,Language
परंपरा,Tradition,परंपरा,பாரம்பரியம்,ପରମ୍ପରା,Language
संस्कृति,Culture,संस्कृति,கலாச்சாரம்,ସଂସ୍କୃତି,Language
विरासत,Heritage,परम्परा,பாரம்பரியம்,ହେରିଟେଜ୍,Language
रीति रिवाज,Customs,परंपरा,சுங்கம்,କଷ୍ଟମ୍ସ,Language
त्योहार,Festival,पर्वं,திருவிழா,ପର୍ବ,Language
दीवाली,Diwali,दिवाली,தீபாவளி,ଦିୱାଲୀ |,Language
होली,Holi,होली,ஹோலி,ହୋଲି,Language
मेला,Fair,उचितः,நியாயமான,ମେଳା |,Language
पूजा,Worship,पूज़्,வழிபாடு,ପୂଜା,Language
आरती,Aarti,आरती,ஆர்த்தி,ଆରତୀ |,Language
प्रार्थना,Prayer,प्रार्थना,பிரார்த்தனை,ପ୍ରାର୍ଥନା |,Language
आशीर्वाद,Blessing,आशीर्वादः,ஆசீர்வாதம்,ଆଶୀର୍ବାଦ,Language
